Ticker,Company Name,Sector,P/E Ratio,P/B Ratio,Debt-to-Equity,Std Deviation,CAGR,Buy Rating
T,AT&T Inc.,Communication Services,19.300812,1.6640965,125.151,0.24000632108982656,0.1978561457516086,Good
LLY,Eli Lilly and Company,Healthcare,87.643326,51.395264,218.081,0.2945290790469657,0.4962135899361928,Bad
ORCL,Oracle Corporation,Technology,47.136597,46.858826,749.978,0.3068766926940063,0.5382116280034335,Good
MDT,Medtronic plc,Healthcare,26.21101,2.2383265,57.859,0.19663417946790734,0.07855044798858524,Good
GE,GE Aerospace,Industrials,35.64497,10.36298,110.224,0.27363231573116287,0.8593133914055131,Bad
NEE,"NextEra Energy, Inc.",Utilities,22.637983,3.1344755,139.015,0.2689037362188891,-0.026309981877343125,Bad
CVX,Chevron Corporation,Energy,17.793406,1.8628838,16.456,0.21369075874838345,-0.0029161150794114743,Good
COST,Costco Wholesale Corporation,Consumer Defensive,59.237034,18.424065,42.118,0.19097372720539701,0.443347417139877,Bad
QCOM,QUALCOMM Incorporated,Technology,18.206047,6.887232,58.765,0.3536469376779798,0.17190810961230651,Good
ABNB,"Airbnb, Inc.",Consumer Cyclical,47.895473,10.3322315,26.614,0.38476353251283263,0.18126684907512836,Good
DUK,Duke Energy Corporation,Utilities,20.402153,1.8216501,169.205,0.17309649295238272,0.11612999874249286,Good
NEE,"NextEra Energy, Inc.",Utilities,22.637983,3.1344755,139.015,0.2689037362188891,-0.026309981877343125,Bad
SO,The Southern Company,Utilities,20.107227,2.8384337,176.35,0.17996049866842298,0.17456439064174378,Good
EXC,Exelon Corporation,Utilities,15.695473,1.4395713,173.221,0.19832601601326394,-0.0070728548978036265,Good
XEL,Xcel Energy Inc.,Utilities,21.06825,2.106325,154.33,0.20842282710903992,0.05292912218064605,Good
AEP,"American Electric Power Company, Inc.",Utilities,19.560484,1.940827,165.878,0.19890003206441215,0.05440479984958313,Good
CAT,Caterpillar Inc.,Industrials,18.544357,9.937775,195.336,0.27375937157021063,0.33415628985232426,Bad
HON,Honeywell International Inc.,Industrials,26.177624,8.478781,177.821,0.17937443566698513,0.048289228422562225,Good
MMM,3M Company,Industrials,13.647243,15.385968,295.441,0.306873556504243,0.17512441818085,Bad
RTX,RTX Corporation,Industrials,34.03458,2.572144,69.597,0.21049171639734504,0.10999253677592113,Good
UPS,"United Parcel Service, Inc.",Industrials,19.593657,6.5636077,155.425,0.2526402826006464,-0.11661004614528037,Good
DE,Deere & Company,Industrials,17.939453,5.448387,288.043,0.25207022891673064,0.03937163015584977,Good
GE,GE Aerospace,Industrials,35.64497,10.36298,110.224,0.27363231573116287,0.8593133914055131,Bad
COP,ConocoPhillips,Energy,12.580071,2.4469314,36.695,0.2640335260721365,-0.02388424103892617,Bad
EOG,"EOG Resources, Inc.",Energy,10.637611,2.5167563,13.911,0.2677901758268704,0.03611950026091115,Good
SLB,Schlumberger Limited,Energy,14.035371,2.8654895,57.141,0.3104652219920568,-0.05915192490631915,Bad
